,Tanggal_Penerbangan,Hari,Maskapai,Nomor_Penerbangan,Bandara_Asal,Kode_IATA_Asal,Bandara_Tujuan,Kode_IATA_Tujuan,Jadwal_Keberangkatan,Jadwal_Kedatangan,Kota_tujuan,Deskripsi_tujuan,Suhu_Celcius_tujuan,Kelembaban_%_tujuan,Tekanan_hPa_tujuan,Kecepatan_Angin_m/s_tujuan,Kecepatan_Angin_km_jam_tujuan,Kota_Asal,Rute,Durasi_Actual,Durasi_Normal,Keterlambatan_Kedatangan
681,2025-08-01,Jumat,Pelita Air,IP200P,Soekarno-Hatta International,CGK,Juanda,SUB,2025-08-01 06:55:00,2025-08-01 08:30:00,Surabaya,cerah,24.7,79,1012,2.2,7.920000000000001,Jakarta,Jakarta-Surabaya,95.0,80.0,15.0
682,2025-08-02,Sabtu,Batik Air,ID6296B,Soekarno-Hatta International,CGK,Hasanudin,UPG,2025-08-02 16:50:00,2025-08-02 20:10:00,Makassar,badai petir,32.7,71,1009,1.1,3.9600000000000004,Jakarta,Jakarta-Makassar,200.0,200.0,0.0
683,2025-08-03,Minggu,Lion Air,JT888D,Soekarno-Hatta International,CGK,Hasanudin,UPG,2025-08-03 22:00:00,2025-08-03 01:20:00,Makassar,hujan ringan,25.2,62,1009,4.0,14.4,Jakarta,Jakarta-Makassar,-1240.0,200.0,-1440.0
684,2025-08-06,Rabu,Lion Air,JT171Z,Soekarno-Hatta International,CGK,Juanda,SUB,2025-08-06 14:40:00,2025-08-06 16:05:00,Surabaya,hujan ringan,32.4,66,1006,3.0,10.8,Jakarta,Jakarta-Surabaya,85.0,80.0,5.0
685,2025-08-07,Kamis,Garuda Indonesia,GA162K,Soekarno-Hatta International,CGK,Minangkabau International Airport,PDG,2025-08-07 14:40:00,2025-08-07 16:30:00,Padang,gerimis,26.7,77,1005,4.2,15.120000000000001,Jakarta,Jakarta-Padang,110.0,110.0,0.0
686,2025-08-08,Jumat,Super Air Jet,IU904M,Soekarno-Hatta International,CGK,Minangkabau International Airport,PDG,2025-08-08 17:00:00,2025-08-08 18:45:00,Padang,berkabut,28.2,83,1012,4.5,16.2,Jakarta,Jakarta-Padang,105.0,110.0,-5.0
687,2025-08-09,Sabtu,Batik Air,ID6236D,Soekarno-Hatta International,CGK,Hasanudin,UPG,2025-08-09 06:00:00,2025-08-09 09:20:00,Makassar,hujan ringan,34.0,69,1015,1.9,6.84,Jakarta,Jakarta-Makassar,200.0,200.0,0.0
688,2025-08-10,Minggu,Lion Air,JT3896E,Soekarno-Hatta International,CGK,Hasanudin,UPG,2025-08-10 01:30:00,2025-08-10 04:50:00,Makassar,badai petir,24.7,64,1006,2.7,9.72,Jakarta,Jakarta-Makassar,200.0,200.0,0.0
689,2025-08-13,Rabu,Super Air Jet,IU734J,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,2025-08-13 10:40:00,2025-08-13 13:30:00,Denpasar,cerah,29.0,88,1014,2.3,8.28,Jakarta,Jakarta-Denpasar,170.0,,
690,2025-08-14,Kamis,Garuda Indonesia,GA612T,Soekarno-Hatta International,CGK,Hasanudin,UPG,2025-08-14 14:25:00,2025-08-14 18:00:00,Makassar,gerimis,28.2,60,1006,3.4,12.24,Jakarta,Jakarta-Makassar,215.0,200.0,15.0
691,2025-08-15,Jumat,Garuda Indonesia,GA320Y,Soekarno-Hatta International,CGK,Juanda,SUB,2025-08-15 16:00:00,2025-08-15 17:40:00,Surabaya,berkabut,31.4,88,1015,2.7,9.72,Jakarta,Jakarta-Surabaya,100.0,80.0,20.0
692,2025-08-16,Sabtu,Super Air Jet,IU752P,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,2025-08-16 09:40:00,2025-08-16 12:30:00,Denpasar,badai petir,32.0,62,1008,2.2,7.920000000000001,Jakarta,Jakarta-Denpasar,170.0,,
693,2025-08-17,Minggu,Super Air Jet,IU900P,Soekarno-Hatta International,CGK,Minangkabau International Airport,PDG,2025-08-17 14:40:00,2025-08-17 16:25:00,Padang,gerimis,32.3,80,1011,2.4,8.64,Jakarta,Jakarta-Padang,105.0,110.0,-5.0
694,2025-08-20,Rabu,Sriwijaya Air,SJ598U,Soekarno-Hatta International,CGK,Hasanudin,UPG,2025-08-20 22:15:00,2025-08-20 01:40:00,Makassar,hujan ringan,25.2,62,1009,4.0,14.4,Jakarta,Jakarta-Makassar,-1235.0,200.0,-1435.0
695,2025-08-21,Kamis,Super Air Jet,IU742J,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,2025-08-21 12:40:00,2025-08-21 15:30:00,Denpasar,badai petir,25.6,77,1014,4.1,14.76,Jakarta,Jakarta-Denpasar,170.0,,
696,2025-08-22,Jumat,Lion Air,JT772V,Soekarno-Hatta International,CGK,Hasanudin,UPG,2025-08-22 16:15:00,2025-08-22 19:35:00,Makassar,badai petir,32.7,71,1009,1.1,3.9600000000000004,Jakarta,Jakarta-Makassar,200.0,200.0,0.0
697,2025-08-23,Sabtu,Oman Air,WY5787D,Soekarno-Hatta International,CGK,Juanda,SUB,2025-08-23 16:00:00,2025-08-23 17:40:00,Surabaya,berkabut,31.4,88,1015,2.7,9.72,Jakarta,Jakarta-Surabaya,100.0,80.0,20.0
698,2025-08-24,Minggu,Lion Air,JT1740M,Soekarno-Hatta International,CGK,Hasanudin,UPG,2025-08-24 10:00:00,2025-08-24 13:20:00,Makassar,gerimis,27.9,60,1015,3.2,11.520000000000001,Jakarta,Jakarta-Makassar,200.0,200.0,0.0
699,2025-08-27,Rabu,Lion Air,JT1774R,Soekarno-Hatta International,CGK,Hasanudin,UPG,2025-08-27 10:00:00,2025-08-27 13:20:00,Makassar,cerah,31.6,79,1011,2.2,7.920000000000001,Jakarta,Jakarta-Makassar,200.0,200.0,0.0
